,index,initial_sigmas,initial_pis,ComTime,Converge,ObjectEvaluations,pi,betas,gammas,Unnamed: 0
15,15,[3.893103   0.         5.35600874 2.02315792 1.19408403 1.91964389],[-35.02057223],131.83585715293884,False,75,[-44.19431139],"[[-7.47074676]
 [ 3.46778483]
 [-1.33503156]
 [ 0.45226436]
 [ 4.20360283]]","[[ 2.75791358]
 [ 0.88089715]
 [ 0.44108711]
 [-0.5340884 ]
 [-0.28122586]
 [ 0.02615551]]",15.0
16,16,[4.02436955 0.         5.40822676 1.81906898 0.98153058 2.43044718],[-51.3716438],96.60104084014893,True,51,[-46.07699454],"[[-7.27076244]
 [ 3.62106661]
 [-0.94028413]
 [ 0.42852697]
 [ 4.22134808]]","[[ 2.76153086]
 [ 0.90202199]
 [ 0.41696156]
 [-0.51799718]
 [-0.24565276]
 [ 0.02679456]]",16.0
17,17,[4.22408896 0.         4.61504615 1.51602951 0.867214   2.29301001],[-48.58463212],102.08777785301208,False,55,[-45.23549257],"[[-7.26892724]
 [ 3.50966099]
 [-0.91489114]
 [ 0.41805199]
 [ 4.19066944]]","[[ 2.75721957]
 [ 0.89756975]
 [ 0.42024779]
 [-0.52015749]
 [-0.25313529]
 [ 0.02664872]]",17.0
18,18,[3.9170967  0.         4.29961828 2.08952311 1.1602936  2.26633718],[-38.65563621],110.02134394645692,True,60,[-44.89289489],"[[-7.45959884]
 [ 3.51997218]
 [-1.16588218]
 [ 0.45788626]
 [ 4.23499663]]","[[ 2.7579484 ]
 [ 0.8842066 ]
 [ 0.43194042]
 [-0.52997505]
 [-0.27143565]
 [ 0.02641488]]",18.0
19,19,[3.50214769 0.         4.64979208 1.67862877 0.94676637 2.13311922],[-45.4011084],124.0084969997406,False,66,[-44.81871016],"[[-7.27794175]
 [ 3.46067697]
 [-0.98551226]
 [ 0.41700019]
 [ 4.17663743]]","[[ 2.75843924]
 [ 0.89723138]
 [ 0.42302579]
 [-0.52319045]
 [-0.25900959]
 [ 0.02660035]]",19.0
20,20,[3.68887492 0.         5.40044618 1.92476963 1.00014523 2.07045638],[-35.29212157],110.28085613250731,False,55,[-43.53587702],"[[-7.2868782 ]
 [ 3.33102907]
 [-1.09635247]
 [ 0.40697265]
 [ 4.12005511]]","[[ 2.76323909]
 [ 0.89084962]
 [ 0.42990603]
 [-0.53638124]
 [-0.28125517]
 [ 0.02630231]]",20.0
21,21,[3.10044108 0.         4.82459448 1.83005563 0.96791938 2.30427972],[-44.2863081],125.25028896331787,False,71,[-44.82815353],"[[-7.28740231]
 [ 3.47542839]
 [-1.02300775]
 [ 0.419524  ]
 [ 4.17677094]]","[[ 2.75972553]
 [ 0.89657364]
 [ 0.42304947]
 [-0.52483975]
 [-0.2607853 ]
 [ 0.02660548]]",21.0
22,22,[3.97564426 0.         5.38751214 1.87527015 0.91822497 1.87634433],[-42.50914705],61.14540910720825,True,29,[-44.38509097],"[[-7.27057302]
 [ 3.40620191]
 [-1.00632919]
 [ 0.41146206]
 [ 4.15668243]]","[[ 2.76111925]
 [ 0.89723117]
 [ 0.42400579]
 [-0.52721225]
 [-0.26622012]
 [ 0.02654804]]",22.0
23,23,[2.91762723 0.         4.13393429 2.10661769 1.13252885 1.79866977],[-50.38658808],106.27500009536743,False,58,[-46.14901795],"[[-7.3197426 ]
 [ 3.63866028]
 [-0.97525734]
 [ 0.44504139]
 [ 4.23369394]]","[[ 2.75580645]
 [ 0.89551214]
 [ 0.41949799]
 [-0.51692745]
 [-0.24399243]
 [ 0.02672694]]",23.0
24,24,[3.7105087  0.         5.37640671 2.1353794  0.96945643 2.43345436],[-35.05831675],113.87940502166748,False,63,[-43.74556896],"[[-7.29498764]
 [ 3.36287186]
 [-1.0844523 ]
 [ 0.41162588]
 [ 4.12877793]]","[[ 2.76415619]
 [ 0.89038014]
 [ 0.42809933]
 [-0.53667359]
 [-0.28032132]
 [ 0.02634374]]",24.0
