brand,model_fromsales,year,model_id,brand_id,yb_id,ybm_id
MERCURY,MILAN,2008,282,25,264,1369
MERCURY,MILAN,2009,282,25,265,1581
MERCURY,MILAN,2010,282,25,266,1792
MERCURY,MONTEGO,2005,283,25,261,731
MERCURY,MONTEGO,2006,283,25,262,939
MERCURY,MONTEGO,2007,283,25,263,1153
MERCURY,MONTEREY,2004,284,25,260,518
MERCURY,MONTEREY,2005,284,25,261,732
MERCURY,MONTEREY,2006,284,25,262,940
MERCURY,MOUNTAINEER,2002,285,25,258,134
MERCURY,MOUNTAINEER,2003,285,25,259,318
MERCURY,MOUNTAINEER,2004,285,25,260,519
MERCURY,MOUNTAINEER,2005,285,25,261,733
MERCURY,MOUNTAINEER,2006,285,25,262,941
MERCURY,MOUNTAINEER,2007,285,25,263,1154
MERCURY,MOUNTAINEER,2008,285,25,264,1370
MERCURY,MOUNTAINEER,2010,285,25,266,1793
MERCURY,SABLE,2002,286,25,258,135
MERCURY,SABLE,2003,286,25,259,319
MERCURY,SABLE,2004,286,25,260,520
MERCURY,SABLE,2005,286,25,261,734
MERCURY,SABLE,2008,286,25,264,1371
MERCURY,VILLAGER,2002,287,25,258,136
MINI,COOPER,2011,288,26,267,1976
MINI,COOPER,2012,288,26,268,2154
MINI,COOPER,2013,288,26,269,2336
MINI,COUNTRYMAN,2011,289,26,267,1977
MINI,COUNTRYMAN,2012,289,26,268,2155
MINI,COUNTRYMAN,2013,289,26,269,2337
MITSUBISHI,I,2012,290,27,280,2156
MITSUBISHI,LANCER,2002,291,27,270,137
MITSUBISHI,LANCER,2003,291,27,271,320
MITSUBISHI,LANCER,2004,291,27,272,521
MITSUBISHI,LANCER,2005,291,27,273,735
MITSUBISHI,LANCER,2006,291,27,274,942
MITSUBISHI,LANCER,2008,291,27,276,1372
MITSUBISHI,LANCER,2009,291,27,277,1582
MITSUBISHI,LANCER,2010,291,27,278,1794
MITSUBISHI,LANCER,2011,291,27,279,1978
MITSUBISHI,LANCER,2012,291,27,280,2157
MITSUBISHI,MIRAGE,2002,292,27,270,138
MITSUBISHI,MONTERO SPORT,2002,293,27,270,139
MITSUBISHI,MONTERO SPORT,2003,293,27,271,321
MITSUBISHI,MONTERO SPORT,2004,293,27,272,522
MITSUBISHI,OUTLANDER,2003,294,27,271,322
MITSUBISHI,OUTLANDER,2004,294,27,272,523
MITSUBISHI,OUTLANDER,2005,294,27,273,736
MITSUBISHI,OUTLANDER,2006,294,27,274,943
MITSUBISHI,OUTLANDER,2007,294,27,275,1155
MITSUBISHI,OUTLANDER,2008,294,27,276,1373
MITSUBISHI,OUTLANDER,2009,294,27,277,1583
MITSUBISHI,OUTLANDER,2010,294,27,278,1795
MITSUBISHI,OUTLANDER,2011,294,27,279,1979
MITSUBISHI,OUTLANDER,2012,294,27,280,2158
MITSUBISHI,OUTLANDER SPORT,2011,295,27,279,1980
MITSUBISHI,OUTLANDER SPORT,2012,295,27,280,2159
MITSUBISHI,RAIDER,2006,296,27,274,944
MITSUBISHI,RAIDER,2007,296,27,275,1156
NISSAN,350Z,2003,297,28,282,323
NISSAN,350Z,2004,297,28,283,524
NISSAN,350Z,2006,297,28,285,945
NISSAN,350Z,2007,297,28,286,1157
NISSAN,350Z,2008,297,28,287,1374
NISSAN,370Z,2009,298,28,288,1584
NISSAN,370Z,2010,298,28,289,1796
NISSAN,370Z,2012,298,28,291,2160
NISSAN,ALTIMA,2002,299,28,281,140
NISSAN,ALTIMA,2003,299,28,282,324
NISSAN,ALTIMA,2004,299,28,283,525
NISSAN,ALTIMA,2005,299,28,284,737
NISSAN,ALTIMA,2006,299,28,285,946
NISSAN,ALTIMA,2007,299,28,286,1158
NISSAN,ALTIMA,2008,299,28,287,1375
NISSAN,ALTIMA,2009,299,28,288,1585
NISSAN,ALTIMA,2010,299,28,289,1797
NISSAN,ALTIMA,2011,299,28,290,1981
NISSAN,ALTIMA,2012,299,28,291,2161
NISSAN,ALTIMA,2013,299,28,292,2338
NISSAN,ARMADA,2004,300,28,283,526
NISSAN,ARMADA,2005,300,28,284,738
NISSAN,ARMADA,2006,300,28,285,947
NISSAN,ARMADA,2007,300,28,286,1159
NISSAN,ARMADA,2008,300,28,287,1376
NISSAN,ARMADA,2009,300,28,288,1586
NISSAN,ARMADA,2010,300,28,289,1798
NISSAN,ARMADA,2011,300,28,290,1982
NISSAN,ARMADA,2012,300,28,291,2162
NISSAN,CUBE,2010,301,28,289,1799
NISSAN,CUBE,2011,301,28,290,1983
NISSAN,CUBE,2012,301,28,291,2163
NISSAN,FRONTIER,2002,302,28,281,141
NISSAN,FRONTIER,2003,302,28,282,325
NISSAN,FRONTIER,2004,302,28,283,527
NISSAN,FRONTIER,2005,302,28,284,739
NISSAN,FRONTIER,2006,302,28,285,948
NISSAN,FRONTIER,2007,302,28,286,1160
NISSAN,FRONTIER,2008,302,28,287,1377
NISSAN,FRONTIER,2009,302,28,288,1587
NISSAN,FRONTIER,2010,302,28,289,1800
NISSAN,FRONTIER,2011,302,28,290,1984
NISSAN,FRONTIER,2012,302,28,291,2164
NISSAN,FRONTIER,2013,302,28,292,2339
NISSAN,GT-R,2009,303,28,288,1588
NISSAN,GT-R,2010,303,28,289,1801
NISSAN,JUKE,2011,304,28,290,1985
NISSAN,JUKE,2012,304,28,291,2165
NISSAN,JUKE,2013,304,28,292,2340
NISSAN,LEAF,2012,305,28,291,2166
NISSAN,LEAF,2013,305,28,292,2341
NISSAN,MAXIMA,2002,306,28,281,142
NISSAN,MAXIMA,2003,306,28,282,326
NISSAN,MAXIMA,2004,306,28,283,528
NISSAN,MAXIMA,2005,306,28,284,740
NISSAN,MAXIMA,2006,306,28,285,949
NISSAN,MAXIMA,2007,306,28,286,1161
NISSAN,MAXIMA,2008,306,28,287,1378
NISSAN,MAXIMA,2009,306,28,288,1589
NISSAN,MAXIMA,2010,306,28,289,1802
NISSAN,MAXIMA,2011,306,28,290,1986
NISSAN,MAXIMA,2012,306,28,291,2167
NISSAN,MAXIMA,2013,306,28,292,2342
NISSAN,MURANO,2003,307,28,282,327
NISSAN,MURANO,2004,307,28,283,529
NISSAN,MURANO,2005,307,28,284,741
NISSAN,MURANO,2006,307,28,285,950
NISSAN,MURANO,2007,307,28,286,1162
NISSAN,MURANO,2009,307,28,288,1590
NISSAN,MURANO,2010,307,28,289,1803
NISSAN,MURANO,2011,307,28,290,1987
NISSAN,MURANO,2012,307,28,291,2168
NISSAN,MURANO,2013,307,28,292,2343
NISSAN,PATHFINDER,2005,308,28,284,742
NISSAN,PATHFINDER,2006,308,28,285,951
NISSAN,PATHFINDER,2007,308,28,286,1163
NISSAN,PATHFINDER,2008,308,28,287,1379
NISSAN,PATHFINDER,2009,308,28,288,1591
NISSAN,PATHFINDER,2010,308,28,289,1804
NISSAN,PATHFINDER,2011,308,28,290,1988
NISSAN,PATHFINDER,2012,308,28,291,2169
NISSAN,PATHFINDER,2013,308,28,292,2344
NISSAN,QUEST,2002,309,28,281,143
NISSAN,QUEST,2004,309,28,283,530
NISSAN,QUEST,2005,309,28,284,743
NISSAN,QUEST,2006,309,28,285,952
NISSAN,QUEST,2007,309,28,286,1164
NISSAN,QUEST,2008,309,28,287,1380
NISSAN,QUEST,2009,309,28,288,1592
NISSAN,QUEST,2011,309,28,290,1989
NISSAN,QUEST,2012,309,28,291,2170
NISSAN,QUEST,2013,309,28,292,2345
NISSAN,ROGUE,2008,310,28,287,1381
NISSAN,ROGUE,2009,310,28,288,1593
NISSAN,ROGUE,2010,310,28,289,1805
NISSAN,ROGUE,2011,310,28,290,1990
NISSAN,ROGUE,2012,310,28,291,2171
NISSAN,ROGUE,2013,310,28,292,2346
NISSAN,SENTRA,2002,311,28,281,144
NISSAN,SENTRA,2003,311,28,282,328
NISSAN,SENTRA,2004,311,28,283,531
NISSAN,SENTRA,2005,311,28,284,744
NISSAN,SENTRA,2006,311,28,285,953
NISSAN,SENTRA,2007,311,28,286,1165
NISSAN,SENTRA,2008,311,28,287,1382
NISSAN,SENTRA,2010,311,28,289,1806
NISSAN,SENTRA,2011,311,28,290,1991
NISSAN,SENTRA,2013,311,28,292,2347
NISSAN,TITAN,2006,312,28,285,954
NISSAN,TITAN,2007,312,28,286,1166
NISSAN,TITAN,2008,312,28,287,1383
NISSAN,TITAN,2009,312,28,288,1594
NISSAN,TITAN,2010,312,28,289,1807
NISSAN,TITAN,2011,312,28,290,1992
NISSAN,TITAN,2012,312,28,291,2172
