,detected_entity,year,model_id,brand_id,yb_id,ybm_id,org_id
83502,VOLVO,,415,40,,,247488
83503,SAAB,,,33,,,247490
83504,SAAB,,347,33,,,247491
83505,SAAB,,,33,,,247494
83506,SAAB,,347,33,,,247495
83507,BMW,,17,3,,,247500
83508,SAAB,,347,33,,,247500
83509,A4,,12,2,,,247543
83510,BMW,,,3,,,247543
83511,LEXUS,,,21,,,247543
83512,SAAB,,347,33,,,247543
83513,SAAB,,,33,,,247544
83514,3,,345,33,,,247546
83515,A4,,12,2,,,247546
83516,BMW,,19,3,,,247546
83517,VOLVO,,412,40,,,247546
83518,BMW,,19,3,,,247547
83519,CTS,,40,5,,,247547
83520,SAAB,,,33,,,247547
83521,PORSCHE,,,31,,,247548
83522,SAAB,,347,33,,,247549
83525,VOLVO,,411,40,,,247549
83527,AUDI,,,2,,,247550
83528,SAAB,,347,33,,,247550
83529,BMW,,17,3,,,247552
83530,MERCEDES,,275,24,,,247552
83531,SAAB,,347,33,,,247552
83532,SIERRA,,141,11,,,247552
83533,BMW,,17,3,,,247553
83534,SAAB,,,33,,,247553
83535,TROOPER,,187,16,,,247553
83536,SAAB,,,33,,,247555
83537,SAAB,,346,33,,,247556
83538,PORSCHE,,,31,,,247558
83539,SAAB,,,33,,,247558
83540,SAAB,,347,33,,,247559
83541,SAAB,,,33,,,247561
83542,BMW,,19,3,,,247562
83543,SAAB,,345,33,,,247563
83544,SAAB,,347,33,,,247566
83545,SAAB,,,33,,,247570
83546,SAAB,,,33,,,247579
83547,BMW,,,3,,,247583
83548,SAAB,,,33,,,247584
83549,BMW,,17,3,,,247585
83550,SAAB,,347,33,,,247593
83551,AUDI,,,2,,,247594
83552,BMW,,19,3,,,247594
83553,SAAB,,,33,,,247594
83554,VOLVO,,412,40,,,247594
83555,SAAB,,,33,,,247595
83556,BENZ,,275,24,,,247597
83557,AUDI,,14,2,,,247681
83559,BMW,,16,3,,,247681
83560,SAAB,,347,33,,,247681
83561,AUDI,,14,2,,,247682
83562,BMW,,,3,,,247682
83563,PASSAT,,400,39,,,247682
83564,PILOT,,156,12,,,247683
83565,SAAB,,347,33,,,247683
83566,BMW,,15,3,,,247685
83567,INFINITI,,174,15,,,247685
83568,LEXUS,,,21,,,247685
83569,SAAB,,347,33,,,247686
83570,AUDI,,12,2,,,247687
83571,BMW,,17,3,,,247687
83572,LEXUS,,,21,,,247687
83573,PASSAT,,400,39,,,247687
83574,SAAB,,,33,,,247687
83575,VOLVO,,412,40,,,247687
83576,PASSAT,,400,39,,,247689
83577,SAAB,,,33,,,247689
83578,VOLVO,,412,40,,,247689
83579,BMW,,,3,,,247691
83580,SAAB,,,33,,,247691
83581,VOLVO,,412,40,,,247691
83582,ACURA,,8,1,,,247692
83583,BMW,,,3,,,247692
83584,LEXUS,,,21,,,247692
83585,SAAB,,347,33,,,247692
83586,AUDI,,,2,,,247693
83587,BMW,,17,3,,,247693
83588,SAAB,,,33,,,247693
83589,AUDI,,12,2,,,247695
83590,SAAB,,347,33,,,247695
83591,SAAB,,,33,,,247696
83592,SAAB,,347,33,,,247697
83594,CHRYSLER,,91,7,,,247698
83595,LEXUS,,,21,,,247698
83596,NISSAN,,303,28,,,247698
83597,SAAB,,347,33,,,247698
83598,PASSAT,,400,39,,,247699
83599,SAAB,,,33,,,247702
83600,VOLVO,,412,40,,,247702
83601,GMC,,,11,,,247703
83602,SAAB,,,33,,,247703
83603,SAAB,,,33,,,247704
83604,LAND,,,20,,,247705
83605,MERCEDES,,275,24,,,247705
83606,SAAB,,,33,,,247705
83607,AUDI,,13,2,,,247707
83608,BMW,,18,3,,,247707
83609,JAGUAR,,190,17,,,247707
83610,SAAB,,347,33,,,247707
83611,LS,,244,22,,,247708
83612,SAAB,,,33,,,247708
83613,TL,,8,1,,,247708
83614,BMW,,,3,,,247709
